alert_type,source_ip_risk,user_risk_score,failed_login_count_24h,geo_impossible_travel,asset_criticality,historical_false_positive_rate,priority
brute_force,0.3033,0.6013,1,0,medium,0.592,medium
suspicious_login,0.1965,0.3449,14,0,low,0.5577,medium
malware,0.0,0.1207,1,0,high,0.4206,medium
malware,0.6208,0.3333,10,0,high,0.4312,high
suspicious_login,0.1604,0.216,7,0,high,0.7581,high
other,0.2186,0.2197,12,0,high,0.8709,medium
other,0.1709,0.4721,1,0,high,0.6782,high
brute_force,0.511,0.3324,4,0,high,0.1467,high
other,0.5703,0.4838,7,0,low,0.7245,low
malware,0.2253,0.3894,4,0,medium,0.6487,medium
data_exfil,0.0314,0.0876,2,0,low,0.5005,low
brute_force,0.5814,0.3445,3,0,low,0.1645,medium
malware,0.7249,0.6296,2,0,low,0.4246,medium
brute_force,0.241,0.0,3,0,medium,0.5419,medium
data_exfil,0.0012,0.055,3,0,low,0.7428,low
other,0.3128,0.4275,1,0,high,0.7856,high
malware,0.0,0.1537,8,0,low,0.6664,low
suspicious_login,0.1282,0.0942,3,1,medium,0.5444,medium
suspicious_login,0.0,0.2027,15,0,high,0.5342,medium
brute_force,0.6146,0.1466,1,0,low,0.4334,low
suspicious_login,0.0841,0.0,1,0,high,0.8568,medium
malware,0.6049,0.525,3,0,low,0.5622,medium
suspicious_login,0.3567,0.2671,4,0,medium,0.4178,medium
data_exfil,0.0,0.0518,9,0,medium,0.7342,medium
suspicious_login,0.2187,0.2094,3,0,low,0.3729,low
malware,0.4186,0.7832,11,0,low,0.7389,medium
brute_force,0.3349,0.4239,1,0,medium,0.4831,medium
data_exfil,0.0052,0.0,9,0,low,0.7691,low
suspicious_login,0.7221,0.0,10,0,medium,0.611,medium
malware,0.5976,0.4991,1,1,high,0.2855,high
brute_force,0.2776,0.1805,4,0,high,0.3661,high
brute_force,0.2807,0.3681,0,0,medium,0.8187,medium
brute_force,0.3551,0.5385,11,0,low,0.6991,low
data_exfil,0.7703,0.4926,3,0,medium,0.7203,high
other,0.0931,0.1025,2,1,low,0.5367,low
data_exfil,0.2889,0.2831,1,0,medium,0.7298,low
malware,0.0656,0.1776,0,1,medium,0.3611,medium
data_exfil,0.3389,0.3669,2,0,medium,0.2483,medium
malware,0.0754,0.0,3,0,low,0.4352,low
other,0.3715,0.2326,3,0,low,0.8744,low
other,0.362,0.1931,10,0,low,0.4494,low
malware,0.269,0.4221,5,0,high,0.6845,medium
malware,0.472,0.2374,10,0,medium,0.3734,medium
suspicious_login,0.0067,0.2431,4,0,medium,0.7817,medium
brute_force,0.4855,0.1093,1,0,low,0.5531,low
malware,0.0,0.2609,5,0,low,0.5949,medium
brute_force,0.3787,0.0012,8,0,medium,0.0993,medium
other,0.7315,0.6419,10,1,medium,0.7653,medium
data_exfil,0.2917,0.1699,2,1,low,0.7224,low
data_exfil,0.602,0.1648,3,0,high,0.7085,medium
suspicious_login,0.2995,0.4601,2,0,low,0.664,low
suspicious_login,0.4642,0.4369,1,1,low,0.3155,medium
suspicious_login,0.1972,0.4281,0,0,medium,0.6835,medium
malware,0.2536,0.3154,13,0,high,0.7533,high
malware,0.313,0.101,2,0,low,0.8746,low
brute_force,0.4182,0.3481,0,0,medium,0.5471,medium
data_exfil,0.3211,0.4975,3,1,medium,0.895,high
other,0.5102,0.4939,3,0,high,0.3156,high
brute_force,0.3287,0.2836,3,0,low,0.4893,low
data_exfil,0.3651,0.0374,7,0,high,0.577,medium
malware,0.2274,0.5414,1,0,medium,0.5996,medium
data_exfil,0.0,0.0417,4,0,high,0.724,medium
malware,0.4301,0.3078,4,0,medium,0.5653,medium
suspicious_login,0.3648,0.6246,1,0,low,0.8267,low
brute_force,0.231,0.3365,9,0,medium,0.7399,medium
suspicious_login,0.3696,0.2651,10,0,high,0.3508,high
other,0.2612,0.3539,2,0,low,0.8124,low
brute_force,0.3522,0.2685,0,1,low,0.7872,medium
malware,0.1432,0.0594,3,1,medium,0.5203,high
malware,0.1336,0.2814,3,0,high,0.5622,high
other,0.3883,0.2631,18,0,high,0.7267,high
other,0.2598,0.1643,2,0,medium,0.8761,medium
brute_force,0.084,0.1403,1,0,high,0.541,medium
suspicious_login,0.5098,0.5822,1,0,low,0.4655,low
suspicious_login,0.6138,0.4441,7,0,low,0.7637,low
brute_force,0.7516,0.3892,10,0,low,0.5588,medium
other,0.0523,0.1639,1,1,medium,0.8322,low
data_exfil,0.362,0.8158,2,0,low,0.7274,low
data_exfil,0.4304,0.3876,8,0,medium,0.593,medium
data_exfil,0.3527,0.1833,11,0,medium,0.3511,high
malware,0.4824,0.3834,5,1,low,0.2101,medium
brute_force,0.0249,0.0,14,0,medium,0.871,low
data_exfil,0.4806,0.3622,11,0,high,0.8987,medium
brute_force,0.487,0.2101,11,0,low,0.3544,medium
malware,0.5779,0.4591,5,0,high,0.6325,high
data_exfil,0.2908,0.6177,15,0,medium,0.766,high
other,0.0,0.0652,3,1,medium,0.3832,medium
data_exfil,0.0984,0.3753,2,0,high,0.485,high
other,0.1965,0.2206,7,0,low,0.6726,low
data_exfil,0.0,0.2664,5,0,low,0.7171,low
suspicious_login,0.1731,0.0288,1,1,low,0.7066,low
suspicious_login,0.4064,0.4571,4,0,low,0.6354,low
other,0.5323,0.0773,5,0,low,0.2229,low
brute_force,0.2086,0.3676,3,1,medium,0.4752,high
other,0.7322,0.6518,3,0,low,0.6507,medium
other,0.5058,0.2154,0,0,medium,0.8181,medium
brute_force,0.854,0.5088,13,0,medium,0.2422,medium
brute_force,0.4285,0.1402,14,0,low,0.8785,medium
other,0.163,0.0566,3,0,low,0.6628,low
malware,0.5002,0.3266,10,0,low,0.19,low
other,0.2719,0.107,3,0,low,0.7899,low
data_exfil,0.3749,0.2183,1,0,high,0.8221,high
data_exfil,0.3315,0.2458,11,0,medium,0.615,medium
malware,0.3181,0.0,3,0,low,0.5557,low
malware,0.0,0.2219,4,0,low,0.3922,low
data_exfil,0.4023,0.5455,0,0,low,0.5587,low
data_exfil,0.2046,0.6274,9,0,medium,0.6966,medium
other,0.3651,0.5499,7,1,medium,0.3298,medium
brute_force,0.2395,0.4127,13,0,medium,0.9253,medium
data_exfil,0.1423,0.1268,3,0,low,0.7496,low
malware,0.6804,0.472,4,0,low,0.4087,medium
brute_force,0.173,0.0,3,0,low,0.5933,low
malware,0.8074,0.6869,1,0,high,0.4059,high
suspicious_login,0.3553,0.5809,1,0,low,0.6087,low
suspicious_login,0.3046,0.1117,0,0,medium,0.1988,low
data_exfil,0.3439,0.0995,1,0,medium,0.8178,low
data_exfil,0.419,0.4701,2,0,medium,0.9399,medium
other,0.132,0.0,13,0,high,0.3905,high
malware,0.488,0.5066,2,0,low,0.2377,medium
other,0.0241,0.2329,1,1,medium,0.6275,medium
data_exfil,0.0246,0.0,6,0,low,0.882,low
data_exfil,0.5603,0.5525,7,0,low,0.5948,medium
malware,0.639,0.3808,15,0,high,0.7646,high
brute_force,0.7754,0.9207,0,0,high,0.6931,high
other,0.3352,0.4149,3,0,high,0.3213,high
data_exfil,0.4674,0.1948,3,0,low,0.5741,low
data_exfil,0.2351,0.4645,0,0,low,0.6447,low
brute_force,0.2826,0.1589,1,0,medium,0.5489,medium
brute_force,0.3619,0.6328,12,0,low,0.6179,low
malware,0.0703,0.0504,1,0,medium,0.3802,medium
suspicious_login,0.1275,0.0914,10,0,low,0.5931,low
data_exfil,0.219,0.2105,1,0,high,0.299,high
suspicious_login,0.3889,0.3822,9,0,medium,0.7334,medium
data_exfil,0.4039,0.3379,9,0,medium,0.866,medium
suspicious_login,0.3419,0.2563,2,0,low,0.2119,medium
data_exfil,0.2439,0.1981,2,0,low,0.7734,low
suspicious_login,0.3231,0.2401,0,0,medium,0.2298,low
data_exfil,0.219,0.4571,2,1,medium,0.9696,high
data_exfil,0.2901,0.2244,1,0,medium,0.4789,medium
brute_force,0.2384,0.4346,8,0,low,0.407,low
suspicious_login,0.3433,0.2261,3,1,medium,0.7898,medium
other,0.4071,0.3925,0,0,medium,0.7066,medium
data_exfil,0.2974,0.2741,5,1,medium,0.9451,medium
data_exfil,0.2278,0.0625,0,0,low,0.3719,low
malware,0.3329,0.5594,4,0,medium,0.9187,high
brute_force,0.3166,0.5505,0,0,medium,0.5054,medium
brute_force,0.0,0.0838,13,0,low,0.9439,low
malware,0.0157,0.3608,1,0,medium,0.6522,low
data_exfil,0.168,0.2716,10,0,low,0.4748,low
malware,0.371,0.1151,13,1,medium,0.3129,medium
data_exfil,0.3438,0.0,0,0,medium,0.4503,low
brute_force,0.0,0.0,2,0,low,0.7367,low
other,0.295,0.5072,14,0,low,0.2985,low
brute_force,0.1332,0.4167,2,0,low,0.3935,low
suspicious_login,0.2353,0.1521,12,0,medium,0.1385,medium
data_exfil,0.1587,0.3857,1,0,medium,0.5725,medium
suspicious_login,0.6129,0.2123,12,0,low,0.7282,low
malware,0.3548,0.4417,9,0,medium,0.4509,medium
suspicious_login,0.4838,0.4418,8,0,high,0.616,high
brute_force,0.4605,0.1913,2,0,medium,0.6685,medium
data_exfil,0.2639,0.3881,2,0,low,0.2398,medium
brute_force,0.1836,0.0018,3,0,medium,0.5578,low
data_exfil,0.2237,0.4434,1,1,low,0.2089,medium
suspicious_login,0.2255,0.0983,6,0,medium,0.517,medium
suspicious_login,0.0195,0.0,4,0,low,0.5861,low
malware,0.3916,0.423,2,0,medium,0.8002,medium
malware,0.4792,0.3931,1,0,medium,0.7019,medium
suspicious_login,0.1571,0.327,0,0,medium,0.6911,low
other,0.2186,0.0,3,0,low,0.6003,low
suspicious_login,0.7299,0.6885,2,0,low,0.5745,medium
malware,0.2382,0.0842,12,0,low,0.7932,low
data_exfil,0.2789,0.5322,4,0,low,0.8813,low
malware,0.5673,0.6888,3,0,medium,0.6333,high
suspicious_login,0.573,0.5379,2,0,low,0.5965,medium
data_exfil,0.4731,0.5814,17,0,medium,0.6015,medium
brute_force,0.1336,0.4043,13,0,medium,0.3729,medium
data_exfil,0.5519,0.3688,1,1,low,0.4952,medium
suspicious_login,0.383,0.2126,9,0,low,0.6288,medium
suspicious_login,0.0779,0.0,1,0,high,0.2157,medium
data_exfil,0.4275,0.3338,11,1,low,0.5776,high
other,0.1767,0.0,5,0,medium,0.8149,medium
malware,0.0004,0.368,3,0,low,0.6108,low
brute_force,0.0529,0.1393,12,0,low,0.7616,low
suspicious_login,0.4386,0.2711,2,0,low,0.5739,low
brute_force,0.1724,0.1692,10,0,low,0.7185,medium
data_exfil,0.2629,0.1255,3,0,medium,0.8635,medium
suspicious_login,0.2638,0.0,4,0,medium,0.8545,medium
brute_force,0.0163,0.0238,3,0,low,0.4642,low
data_exfil,0.343,0.0,4,0,low,0.8166,low
suspicious_login,0.5665,0.3034,16,1,medium,0.5286,high
suspicious_login,0.3655,0.5738,8,0,low,0.4233,medium
suspicious_login,0.5213,0.397,1,0,high,0.5868,high
other,0.2734,0.2025,1,0,low,0.2326,low
brute_force,0.346,0.3785,0,0,low,0.6876,low
brute_force,0.0544,0.6199,2,0,low,0.54,low
data_exfil,0.1646,0.0345,1,0,low,0.5933,low
suspicious_login,0.3092,0.3767,10,0,low,0.5142,medium
suspicious_login,0.0,0.4001,16,0,low,0.6911,low
suspicious_login,0.3954,0.3711,1,0,low,0.9733,low
brute_force,0.1726,0.2822,4,0,low,0.6817,low
brute_force,0.2003,0.0588,0,0,high,0.2999,medium
other,0.4464,0.1318,2,0,low,0.7804,medium
malware,0.2549,0.0,10,0,low,0.71,low
other,0.3181,0.3092,1,0,low,0.6511,low
other,0.4398,0.3473,0,0,medium,0.9175,medium
data_exfil,0.1315,0.2561,2,0,high,0.9284,medium
brute_force,0.5554,0.4962,4,1,high,0.7932,high
brute_force,0.0223,0.3823,1,0,medium,0.6698,low
malware,0.5301,0.4724,1,0,medium,0.5589,medium
brute_force,0.5139,0.5657,2,1,medium,0.593,medium
other,0.1646,0.7262,4,0,low,0.8094,medium
data_exfil,0.2493,0.3094,1,0,high,0.6915,medium
malware,0.0,0.2537,17,0,medium,0.6632,medium
suspicious_login,0.3426,0.3417,1,0,high,0.9538,medium
brute_force,0.1962,0.456,2,0,medium,0.8337,medium
other,0.6409,0.2931,14,0,high,0.5047,high
brute_force,0.4201,0.365,9,0,high,0.7091,high
malware,0.2943,0.3019,1,0,low,0.9591,low
brute_force,0.3082,0.3562,1,0,medium,0.7313,medium
brute_force,0.5939,0.7848,4,0,medium,0.3747,medium
data_exfil,0.1671,0.2261,12,0,low,0.5675,low
suspicious_login,0.3283,0.275,0,1,medium,0.3097,medium
brute_force,0.2886,0.0986,2,0,low,0.3468,low
data_exfil,0.4391,0.4094,1,0,medium,0.9469,medium
suspicious_login,0.2707,0.4969,1,0,high,0.6375,medium
brute_force,0.7047,0.4908,1,1,medium,0.7462,high
other,0.3726,0.0,8,1,low,0.3707,medium
other,0.2629,0.2005,7,0,medium,0.5625,medium
brute_force,0.2881,0.1418,6,0,high,0.6989,high
data_exfil,0.0,0.1418,9,1,medium,0.4717,high
brute_force,0.3796,0.1925,11,1,medium,0.727,medium
data_exfil,0.18,0.1217,1,1,low,0.5879,low
malware,0.14,0.0002,1,1,low,0.6282,low
malware,0.4605,0.7916,5,0,low,0.5779,low
data_exfil,0.1289,0.2272,6,0,medium,0.7726,medium
other,0.0,0.1164,6,0,low,0.1117,low
data_exfil,0.215,0.1139,2,0,medium,0.7079,medium
suspicious_login,0.4335,0.3146,13,0,low,0.5556,medium
suspicious_login,0.0,0.0,3,0,high,0.4447,medium
data_exfil,0.4169,0.4649,1,0,high,0.8704,medium
other,0.4029,0.0814,1,0,low,0.5312,low
data_exfil,0.7962,0.5531,0,0,medium,0.883,medium
other,0.032,0.4672,11,0,low,0.2172,low
other,0.2832,0.0,2,0,medium,0.5637,low
other,0.7161,0.7179,1,0,medium,0.9175,medium
brute_force,0.1502,0.0,12,1,medium,0.7487,high
malware,0.2556,0.529,1,0,low,0.5527,low
malware,0.4049,0.7981,3,1,medium,0.78,high
other,0.3124,0.3546,1,1,high,0.7316,high
brute_force,0.2897,0.1634,10,0,low,0.6831,medium
data_exfil,0.3088,0.2436,15,0,low,0.434,low
other,0.227,0.173,7,0,medium,0.4471,medium
malware,0.2138,0.1093,2,0,medium,0.9003,medium
brute_force,0.5783,0.2676,14,0,low,0.497,medium
suspicious_login,0.4211,0.2463,2,1,medium,0.2712,high
other,0.2443,0.218,1,0,medium,0.4029,low
brute_force,0.4479,0.0,9,0,high,0.9005,medium
brute_force,0.4025,0.4418,0,1,high,0.5693,high
suspicious_login,0.1298,0.1101,2,0,high,0.4979,medium
suspicious_login,0.5695,0.319,4,1,low,0.3236,low
suspicious_login,0.5081,0.3522,1,0,high,0.4582,high
data_exfil,0.196,0.5924,1,1,medium,0.5423,high
data_exfil,0.1711,0.0322,0,1,medium,0.8536,low
malware,0.4418,0.6784,1,0,medium,0.4335,medium
suspicious_login,0.1488,0.1117,10,0,low,0.6457,low
brute_force,0.0,0.0834,3,0,low,0.59,low
data_exfil,0.0313,0.1314,11,0,high,0.6931,high
malware,0.3239,0.548,3,0,high,0.757,high
other,0.3788,0.2482,2,0,low,0.9461,medium
data_exfil,0.0842,0.3035,3,0,medium,0.7864,medium
brute_force,0.1687,0.1842,3,1,medium,0.3845,medium
brute_force,0.342,0.1775,13,0,low,0.6856,low
other,0.5209,0.6826,2,0,high,0.1407,high
malware,0.5773,0.5863,2,0,low,0.7805,low
suspicious_login,0.0708,0.1557,1,0,high,0.9619,medium
other,0.1626,0.6069,5,0,medium,0.8754,low
other,0.3198,0.016,0,0,medium,0.5217,low
suspicious_login,0.3999,0.3104,2,0,high,0.3632,high
other,0.154,0.4277,6,1,low,0.4534,medium
malware,0.1379,0.084,12,1,low,0.8861,low
malware,0.2073,0.49,2,0,low,0.8951,low
malware,0.346,0.0,14,0,low,0.0942,medium
data_exfil,0.6579,0.5359,1,0,medium,0.4045,medium
data_exfil,0.3579,0.3286,1,1,low,0.5648,low
data_exfil,0.259,0.5991,4,0,high,0.4877,high
malware,0.2136,0.0,3,1,low,0.4985,medium
data_exfil,0.5416,0.3485,4,0,low,0.4419,medium
other,0.3782,0.319,6,0,medium,0.7996,medium
data_exfil,0.0,0.1932,3,0,medium,0.9552,medium
data_exfil,0.6505,0.8818,1,0,medium,0.7583,medium
brute_force,0.352,0.0359,7,0,low,0.6599,medium
brute_force,0.424,0.3054,2,0,low,0.5795,low
data_exfil,0.0,0.1792,1,0,high,0.711,medium
other,0.1372,0.1786,1,0,high,0.4004,high
other,0.265,0.0473,7,0,medium,0.3381,medium
brute_force,0.4219,0.5575,0,0,medium,0.6955,medium
suspicious_login,0.5276,0.4327,2,0,low,0.6974,low
data_exfil,0.1898,0.0458,1,0,low,0.9379,low
brute_force,0.0001,0.0,0,1,medium,0.6803,medium
data_exfil,0.0611,0.1681,1,0,low,0.6881,low
data_exfil,0.0889,0.3881,8,0,medium,0.891,medium
brute_force,0.4032,0.2691,15,0,high,0.4996,high
data_exfil,0.5806,0.767,11,0,high,0.6503,high
data_exfil,0.0014,0.2203,2,1,low,0.6329,medium
other,0.7112,0.6509,2,1,low,0.3051,low
other,0.3736,0.4307,2,0,low,0.7719,low
suspicious_login,0.1409,0.3579,0,1,low,0.6946,medium
data_exfil,0.1072,0.1308,0,0,medium,0.4073,low
brute_force,0.42,0.3717,2,1,high,0.9112,high
malware,0.6372,0.2913,2,0,high,0.4365,medium
other,0.0,0.0296,2,0,low,0.9022,low
suspicious_login,0.8003,0.5591,1,1,medium,0.4478,high
other,0.434,0.2937,4,0,high,0.4839,high
suspicious_login,0.1843,0.0,5,0,medium,0.5096,medium
brute_force,0.2372,0.0,1,0,medium,0.5707,low
malware,0.0,0.1196,7,0,high,0.7802,medium
data_exfil,0.2254,0.6506,2,0,medium,0.4262,medium
data_exfil,0.3094,0.0401,2,0,low,0.443,low
malware,0.9287,1.0,2,0,medium,0.1536,high
other,0.2312,0.4585,3,0,low,0.8252,medium
other,0.3354,0.232,2,0,low,0.295,medium
brute_force,0.4806,0.1908,3,0,high,0.5535,medium
malware,0.3686,0.3366,2,0,low,0.3964,medium
brute_force,0.1293,0.0615,12,0,medium,0.8093,medium
data_exfil,0.4964,0.503,8,0,low,0.4396,medium
suspicious_login,0.3726,0.1006,2,0,high,0.4307,high
malware,0.1918,0.0114,3,0,high,0.535,high
malware,0.2241,0.3834,2,0,medium,0.6519,medium
brute_force,0.2368,0.2714,8,0,low,0.5906,low
brute_force,0.1562,0.3333,12,0,medium,0.8194,medium
suspicious_login,0.0,0.0695,0,1,high,0.7921,medium
suspicious_login,0.0,0.0707,1,0,low,0.8246,low
other,0.2829,0.4963,3,0,low,0.5468,low
suspicious_login,0.7539,0.6708,13,0,medium,0.5548,high
suspicious_login,0.2054,0.1859,3,0,medium,0.2054,medium
other,0.1864,0.2557,10,0,high,0.8735,medium
suspicious_login,0.1874,0.1843,0,0,medium,0.6176,low
brute_force,0.0,0.2404,2,0,high,0.4498,high
other,0.1459,0.3607,0,0,low,0.6364,low
suspicious_login,0.1479,0.0177,2,0,low,0.6317,low
suspicious_login,0.2916,0.2741,2,0,low,0.9379,low
suspicious_login,0.2987,0.6275,2,0,medium,0.6341,medium
suspicious_login,0.1736,0.1112,2,0,low,0.284,low
other,0.3194,0.4647,5,0,medium,0.7936,medium
suspicious_login,0.2732,0.0971,9,0,low,0.4263,medium
suspicious_login,0.5481,0.4327,16,0,medium,0.5339,high
brute_force,0.2442,0.0847,12,0,low,0.6398,low
suspicious_login,0.0,0.1217,1,0,medium,0.1194,low
data_exfil,0.5735,0.696,5,0,low,0.5684,medium
data_exfil,0.2705,0.2423,12,0,medium,0.7545,medium
brute_force,0.1627,0.2998,10,1,low,0.4874,medium
suspicious_login,0.5113,0.6939,2,0,low,0.1739,low
suspicious_login,0.0844,0.2649,8,0,high,0.7109,medium
data_exfil,0.3553,0.3627,8,1,low,0.6896,medium
brute_force,0.0844,0.4209,1,0,medium,0.8419,low
malware,0.1651,0.3545,13,0,high,0.7656,high
other,0.8399,0.5959,15,1,medium,0.93,high
other,0.2375,0.0858,3,0,low,0.877,low
malware,0.5079,0.4011,5,1,low,0.6545,medium
brute_force,0.0101,0.2485,1,0,medium,0.6498,low
brute_force,0.149,0.2354,3,0,medium,0.6542,medium
malware,0.1055,0.2105,3,0,medium,0.3641,high
other,0.072,0.2372,13,0,medium,0.7436,medium
data_exfil,0.0403,0.1827,8,0,medium,0.8757,low
other,0.1447,0.2044,2,0,medium,0.6861,medium
other,0.4072,0.4662,2,0,medium,0.4862,high
brute_force,0.327,0.2634,1,0,medium,0.6066,medium
malware,0.1276,0.4732,7,0,low,0.6742,medium
suspicious_login,0.0,0.2842,6,0,high,0.4939,medium
malware,0.5593,0.3836,2,0,medium,0.711,medium
data_exfil,0.1748,0.0019,1,0,high,0.4902,medium
brute_force,0.174,0.1488,8,1,low,0.5046,low
brute_force,0.1915,0.4636,7,0,low,0.6998,low
brute_force,0.2551,0.5177,2,0,low,0.4331,medium
brute_force,0.4982,0.4656,2,0,low,0.2728,low
malware,0.8062,0.3323,10,0,medium,0.8147,high
suspicious_login,0.141,0.0364,1,0,low,0.5324,low
data_exfil,0.0107,0.4114,1,0,low,0.495,low
suspicious_login,0.1608,0.0,1,0,medium,0.654,low
malware,0.5171,0.3185,1,0,low,0.435,low
brute_force,0.509,0.0406,2,0,low,0.7373,low
suspicious_login,0.0,0.0,1,0,medium,0.3911,low
other,0.0226,0.3636,1,0,low,0.474,low
other,0.2358,0.1772,3,0,high,0.435,high
data_exfil,0.6464,0.5651,0,1,medium,0.5428,medium
malware,0.1609,0.1392,1,0,medium,0.2168,medium
brute_force,0.5954,0.5406,2,0,low,0.5805,low
other,0.1523,0.4155,3,0,medium,0.8977,medium
other,0.3159,0.6541,11,0,low,0.7699,medium
brute_force,0.1892,0.0,3,0,low,0.3322,low
data_exfil,0.184,0.1855,1,0,medium,0.2062,medium
suspicious_login,0.7263,0.5127,1,0,medium,0.3119,medium
suspicious_login,0.1863,0.1517,2,0,low,0.8856,low
malware,0.5485,0.0,2,0,low,0.6488,low
other,0.0,0.1568,15,0,high,0.7147,high
data_exfil,0.5593,0.559,10,0,medium,0.6079,medium
brute_force,0.3572,0.1733,10,0,low,0.8279,medium
suspicious_login,0.1854,0.0,2,0,low,0.3181,low
data_exfil,0.2021,0.2748,1,0,medium,0.9064,medium
other,0.0523,0.1285,3,0,low,0.7054,low
other,0.3787,0.2378,15,1,high,0.6809,high
malware,0.048,0.1115,0,1,medium,0.6026,medium
data_exfil,0.1723,0.6433,11,0,medium,0.5192,medium
suspicious_login,0.4291,0.4663,0,1,medium,0.8446,medium
data_exfil,0.508,0.6103,2,0,low,0.6926,medium
suspicious_login,0.1089,0.2015,3,0,low,0.903,low
data_exfil,0.471,0.267,2,0,high,0.8392,medium
brute_force,0.4391,0.3167,0,0,medium,0.6432,medium
malware,0.131,0.1816,3,0,high,0.5366,high
data_exfil,0.37,0.7982,2,0,medium,0.0969,high
other,0.3054,0.0645,0,1,medium,0.5748,low
data_exfil,0.4486,0.2992,1,0,low,0.2976,low
other,0.3354,0.038,9,0,medium,0.6861,medium
data_exfil,0.6072,0.6493,3,0,medium,0.6301,medium
other,0.4683,0.1055,2,0,low,0.3694,low
other,0.5868,0.2665,11,0,low,0.2013,low
brute_force,0.3352,0.236,1,0,high,0.409,high
suspicious_login,0.1879,0.435,0,0,low,0.6406,medium
brute_force,0.4527,0.2377,8,0,medium,0.7872,medium
malware,0.3126,0.1735,4,0,low,0.5336,low
brute_force,0.2246,0.41,15,0,low,0.244,low
suspicious_login,0.1839,0.2103,1,1,medium,0.7081,medium
suspicious_login,0.2291,0.4298,5,0,low,0.2955,low
other,0.4811,0.4067,1,0,medium,0.8315,low
brute_force,0.3421,0.2816,0,0,low,0.4193,low
suspicious_login,0.0549,0.4041,1,0,medium,0.5961,medium
suspicious_login,0.3649,0.1763,3,0,low,0.2949,low
suspicious_login,0.1471,0.3772,7,0,medium,0.6417,medium
other,0.2162,0.1351,1,0,medium,0.1682,medium
other,0.6802,0.5,2,0,medium,0.4719,medium
malware,0.0,0.2508,0,0,medium,0.7909,low
other,0.0862,0.1797,2,1,high,0.735,medium
brute_force,0.4119,0.5128,0,1,medium,0.4509,medium
data_exfil,0.6005,0.5411,2,0,low,0.8965,medium
suspicious_login,0.0,0.2021,9,1,medium,0.5218,medium
data_exfil,0.3295,0.5483,14,0,medium,0.4468,medium
brute_force,0.281,0.7041,2,0,high,0.3589,high
other,0.3121,0.3508,1,0,low,0.7078,low
other,0.3767,0.5634,3,0,high,0.7259,high
brute_force,0.0559,0.0,11,0,medium,0.5155,medium
other,0.4118,0.3642,2,0,medium,0.7569,medium
brute_force,0.3159,0.2912,4,1,high,0.7296,high
suspicious_login,0.7096,0.6246,10,0,medium,0.7657,medium
suspicious_login,0.4914,0.4731,3,1,medium,0.6014,medium
brute_force,0.0,0.0,0,0,medium,0.9744,low
suspicious_login,0.1306,0.4385,5,0,low,0.857,low
data_exfil,0.3377,0.2852,13,0,low,0.6838,medium
brute_force,0.1464,0.2801,0,0,medium,0.4864,low
suspicious_login,0.6063,0.4218,2,1,low,0.5365,high
other,0.3206,0.1381,9,0,high,0.4847,high
brute_force,0.6452,0.381,9,0,medium,0.5482,medium
brute_force,0.3387,0.3569,2,0,low,0.2081,low
data_exfil,0.208,0.4795,3,0,medium,0.7038,high
malware,0.4972,0.4845,2,0,low,0.6428,medium
data_exfil,0.5342,0.5922,3,0,medium,0.5429,low
data_exfil,0.1053,0.0,7,0,medium,0.5669,medium
malware,0.4348,0.3735,5,0,low,0.5701,low
suspicious_login,0.7995,0.9299,1,0,medium,0.8923,high
other,0.0503,0.0433,2,0,medium,0.5917,low
brute_force,0.0,0.4329,1,0,low,0.4055,low
other,0.2926,0.1344,1,0,high,0.5126,medium
data_exfil,0.3488,0.3696,4,0,medium,0.5783,medium
data_exfil,0.0,0.1665,14,0,high,0.4309,high
brute_force,0.4778,0.3955,14,0,high,0.7318,high
malware,0.5481,0.5615,10,1,low,0.8928,medium
suspicious_login,0.2888,0.2464,9,0,low,0.6619,low
suspicious_login,0.2802,0.0826,1,0,medium,0.7155,medium
data_exfil,0.0,0.1188,9,0,low,0.5786,low
data_exfil,0.5304,0.2444,15,0,medium,0.7147,medium
malware,0.0541,0.0418,1,0,medium,0.8203,low
data_exfil,0.3004,0.2662,0,0,low,0.635,low
malware,0.1534,0.3092,11,0,low,0.2497,low
suspicious_login,0.3378,0.1225,1,0,medium,0.367,medium
data_exfil,0.405,0.4901,4,0,medium,0.5867,high
malware,0.3521,0.2506,2,0,medium,0.4122,medium
malware,0.1903,0.1858,1,0,high,0.7911,medium
other,0.156,0.4309,3,0,medium,0.4431,medium
suspicious_login,0.0,0.0371,1,0,high,0.8905,medium
brute_force,0.3005,0.2885,3,0,high,0.6494,high
brute_force,0.2166,0.0,2,0,high,0.2561,high
other,0.5917,0.5819,0,1,medium,0.7855,medium
data_exfil,0.0,0.209,1,0,high,0.3906,medium
suspicious_login,0.4211,0.3555,10,0,high,0.7665,high
suspicious_login,0.1942,0.648,6,0,low,0.6178,low
other,0.1216,0.0913,1,0,medium,0.8888,low
data_exfil,0.5694,0.3522,1,0,high,0.8052,medium
malware,0.0,0.0,1,0,low,0.6078,low
data_exfil,0.2916,0.3188,0,0,medium,0.5352,medium
brute_force,0.3854,0.3523,11,0,medium,0.6394,medium
suspicious_login,0.5016,0.2334,14,0,low,0.9053,low
brute_force,0.3991,0.3706,11,0,high,0.4734,high
malware,0.4022,0.0675,1,0,low,0.6358,low
other,0.0579,0.181,2,0,low,0.7063,low
brute_force,0.0334,0.1347,0,0,low,0.3883,low
data_exfil,0.3823,0.2016,9,1,medium,0.3257,high
